record,source,Institution Accession Number ,Country,State,County,island,Locality Detail,Collector(s),order,family,acceptedFamily,Subfamily,Genus,acceptedGenus,Subgenus,acceptedEpithet,Subspecies,acceptedName,original_date,month,day_arabic,year,TO Date Collected,day_messy,month_messy,Drawer,Survey,Sex,Collecting Remarks,Type,Curation Remarks,Stage,Elevation
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,25.iii.1941,3,25,1941,,25,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,25.iii.1941,3,25,1941,,25,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,25.iii.1941,3,25,1941,,25,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,25.iii.1941,3,25,1941,,25,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,25.iii.1941,3,25,1941,,25,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,25.iii.1941,3,25,1941,,25,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,25.iii.1941,3,25,1941,,25,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,25.iii.1941,3,25,1941,,25,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,25.iii.1941,3,25,1941,,25,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,25.iii.1941,3,25,1941,,25,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,25.iii.1941,3,25,1941,,25,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,26.iii.1941,3,26,1941,,26,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
occurrence,LACM,LACM ENT 380015,USA,CA,Santa Barbara,Santa Cruz,,L.M. Martin,Lepidoptera,Adelidae,Adelidae,,Adela,Adela,,trigrapha,,Adela trigrapha,24.iii.1941,3,24,1941,,24,iii,26R-04653,Channel Islands Survey,,,,,,
