Family,OG_spname,Eliminate,Updated_name
Asteraceae,Agoseris heterophylla var. heterophylla,,Agoseris heterophylla
Poaceae,Agrostis exarata,,
Poaceae,Agrostis pallens,,
Poaceae,Agrostis stolonifera,,
Simaroubaceae,Ailanthus altissima,1,
Poaceae,Aira caryophyllea,,
Malvaceae,Alcea rosea,1,
Alliaceae,Allium haematochiton,1,
Alliaceae,Allium lacunosum,,Allium lacunosum var. lacunosum
Alliaceae,Allium lacunosum var. lacunosum,,
Alliaceae,Allium peninsulare,,Allium peninsulare var. peninsulare
Alliaceae,Allium peninsulare var. peninsulare,,
Alliaceae,Allium praecox,,
Polemoniaceae,Allophyllum gilioides,1,
Polemoniaceae,Allophyllum glutinosum,,
Asphodelaceae,Aloe arborescens,1,
Asphodelaceae,Aloiampelos ciliaris,1,
Poaceae,Alopecurus myosuroides,1,
Amaranthaceae,Amaranthus albus,,
Amaranthaceae,Amaranthus blitoides,,
Amaranthaceae,Amaranthus deflexus,,
Amaranthaceae,Amaranthus powellii,,
Amaranthaceae,Amaranthus spinosus,1,
Asteraceae,Amblyopappus pusillus,,
Asteraceae,Ambrosia acanthicarpa,,
Asteraceae,Ambrosia chamissonis,,
Asteraceae,Ambrosia dumosa,1,
Asteraceae,Ambrosia psilostachya,,
Lythraceae,Ammannia coccinea,1,
Lythraceae,Ammannia robusta,,
Asteraceae,Amphipappus fremontii,1,
Boraginaceae,Amsinckia intermedia,,
Boraginaceae,Amsinckia lycopsoides,1,
Boraginaceae,Amsinckia menziesii,,
Boraginaceae,Amsinckia retrorsa,1,
Boraginaceae,Amsinckia spectabilis,,Amsinckia spectabilis var. spectabilis
Boraginaceae,Amsinckia spectabilis var. spectabilis,,
Boraginaceae,Amsinckia tessellata,1,
Apocynaceae,Amsonia tomentosa var. tomentosa,1,
Primulaceae,Anagallis minima,1,
Poaceae,Andropogon glomeratus,,Andropogon glomeratus var. scabriglumis
Poaceae,Andropogon glomeratus var. scabriglumis,,
Saururaceae,Anemopsis californica,,
Bassellaceae,Anredera cordifolia,1,
Asteraceae,Anthemis arvensis,1,
Asteraceae,Anthemis cotula,,
Plantaginaceae,Antirrhinum coulterianum,1,
Plantaginaceae,Antirrhinum kelloggii,,
Plantaginaceae,Antirrhinum nuttallianum,,
Plantaginaceae,Antirrhinum nuttallianum subsp. nuttallianum,,
Plantaginaceae,Antirrhinum nuttallianum subsp. subsessile,,
Plantaginaceae,Antirrhinum thompsonii ,,
Rosaceae,Aphanes arvensis,,
Rosaceae,Aphanes occidentalis,,
Chenopodiaceae,Aphanisma blitoides,,
Orobanchaceae,Aphyllon fasciculatum,,
Orobanchaceae,Aphyllon parishii,,Aphyllon parishii subsp. brachylobum
Orobanchaceae,Aphyllon parishii subsp. brachylobum,,
Orobanchaceae,Aphyllon parishii subsp. Brachylobum,,Aphyllon parishii subsp. brachylobum
Orobanchaceae,Aphyllon tuberosum,,
Orobanchaceae,Aphyllon uniflorum ,1,
Apiaceae,Apiastrum angustifolium,,
Apiaceae,Apium graveolens,,
Aizoaceae,Aptenia cordifolia,,
Burmanniaceae,Apteria aphylla,1,
Araucariaceae,Araucaria bidwillii,1,
Araucariaceae,Araucaria columnaris,1,
Apocynaceae,Araujia sericifera,1,
Ericaceae,Arbutus menziesii,,
Asteraceae,Arctium minus,,
Ericaceae,Arctostaphylos auriculata,1,
Ericaceae,Arctostaphylos catalinae,,
Ericaceae,Arctostaphylos confertiflora,,
Ericaceae,Arctostaphylos crustacea,,
Ericaceae,Arctostaphylos crustacea subsp. crinita,,
Ericaceae,Arctostaphylos crustacea subsp. crustacea,,
Ericaceae,Arctostaphylos crustacea subsp. Crustacea,,Arctostaphylos crustacea subsp. crustacea
Ericaceae,Arctostaphylos crustacea subsp. insulicola,,
Ericaceae,Arctostaphylos crustacea subsp. subcordata,,
Ericaceae,Arctostaphylos glandulosa,,
Ericaceae,Arctostaphylos insularis,,
Ericaceae,Arctostaphylos nissenana,1,
Ericaceae,Arctostaphylos pechoensis,1,
Ericaceae,Arctostaphylos tomentosa,,
Ericaceae,Arctostaphylos tomentosa subsp. tomentosa,,
Ericaceae,Arctostaphylos viridissima,,
Poaceae,Aristida adscensionis,,
Poaceae,Aristida divaricata,1,
Poaceae,Aristida purpurea var. parishii,1,
Poaceae,Aristida ternipes,,Aristida ternipes var. gentilis
Poaceae,Aristida ternipes var. gentilis,,
Plumbaginaceae,Armeria maritima,,Armeria maritima subsp. californica
Plumbaginaceae,Armeria maritima subsp. californica,,
Asteraceae,Artemisia californica,,
Asteraceae,Artemisia douglasiana,,
Asteraceae,Artemisia dracunculus,,
Asteraceae,Artemisia nesiotica,,
Asteraceae,Artemisia suksdorfii,1,
Asteraceae,Artemisia tridentata,1,
Asteraceae,Artemisia vulgaris,1,
Chenopoidaceae,Arthrocnemum subterminale,,
Poaceae,Arundo donax,,
Poaceae,Arundo donax f. versicolor,1,
Apocynaceae,Asclepias erosa,1,
Apocynaceae,Asclepias fascicularis,,
Asparagaceae,Asparagus asparagoides,,
Asparagaceae,Asparagus officinalis,,Asparagus officinalis subsp. officinalis
Asparagaceae,Asparagus officinalis subsp. officinalis,,
Asphodelaceae,Asphodelus fistulosus,,
Fabaceae,Astragalus arthurii,1,
Fabaceae,Astragalus asymmetricus,1,
Fabaceae,Astragalus coccineus,1,
Fabaceae,Astragalus crotalariae,1,
Fabaceae,Astragalus curtipes,,
Fabaceae,Astragalus didymocarpus,,
Fabaceae,Astragalus didymocarpus var. didymocarpus,,
Fabaceae,Astragalus didymocarpus var. dispermus,,
Fabaceae,Astragalus gambelianus,,
Fabaceae,Astragalus lentiginosus,,
Fabaceae,Astragalus lentiginosus var. borreganus,,
Fabaceae,Astragalus lentiginosus var. coachellae,,
Fabaceae,Astragalus lentiginosus var. nigricalycis,,
Fabaceae,Astragalus leucolobus,,
Fabaceae,Astragalus magdalenae var. peirsonii,,
Fabaceae,Astragalus miguelensis,,
Fabaceae,Astragalus molybdenus,,
Fabaceae,Astragalus nevinii,,
Fabaceae,Astragalus nutans,,
Fabaceae,Astragalus nuttallii,,
Fabaceae,Astragalus palmeri,,
Fabaceae,Astragalus pomonensis,,
Fabaceae,Astragalus traskiae,,
Fabaceae,Astragalus trichopodus,,
Fabaceae,Astragalus trichopodus var. lonchus,,
Fabaceae,Astragalus trichopodus var. phoxus,,
Fabaceae,Astragalus trichopodus var. trichopodus,,
Brassicaceae,Athysanus pusillus,,
Chenopodiaceae,Atriplex argentea,,Atriplex argentea var. expansa
Chenopodiaceae,Atriplex argentea var. expansa,,
Chenopodiaceae,Atriplex canescens,,
Chenopodiaceae,Atriplex coulteri,,
Chenopodiaceae,Atriplex dioica,1,
Chenopodiaceae,Atriplex lentiformis,,
Chenopodiaceae,Atriplex leucophylla,,
Chenopodiaceae,Atriplex pacifica,,
Chenopodiaceae,Atriplex parishii,,
Chenopodiaceae,Atriplex polycarpa,1,
Chenopodiaceae,Atriplex prostrata,,
Chenopodiaceae,Atriplex rosea,,
Chenopodiaceae,Atriplex semibaccata,,
Chenopodiaceae,Atriplex serenana,,
Chenopodiaceae,Atriplex serenana var. davidsonii,,
Chenopodiaceae,Atriplex serenana var. serenana,,
Chenopodiaceae,Atriplex suberecta,,
Chenopodiaceae,Atriplex watsonii,,
Poaceae,Avena barbata,,
Poaceae,Avena fatua,,
Poaceae,Avena sativa,,
Poaceae,Avena sterilis,1,
Asteraceae,Baccharis glutinosa,,
Asteraceae,Baccharis pilularis,,Baccharis pilularis subsp. consanguinea
Asteraceae,Baccharis pilularis subsp. consanguinea,,
Asteraceae,Baccharis pilularis subsp. pilularis,1,
Asteraceae,Baccharis plummerae,,Baccharis plummerae subsp. plummerae
Asteraceae,Baccharis plummerae subsp. plummerae,,
Asteraceae,Baccharis salicifolia,,
Asteraceae,Baccharis salicina,,
Asteraceae,Baccharis sarothroides,,
Bataceae,Batis maritima,,
Themidaceae,Beaucarnea recurvata,,
Berberidaceae,Berberis pinnata,,
Berberidaceae,Berberis pinnata subsp. insularis,,
Berberidaceae,Berberis pinnata subsp. Pinnata,1,
Cactaceae,Bergerocactus emoryi,,
Apiaceae,Berula erecta,,
Chenopodiaceae,Beta vulgaris,,
Chenopodiaceae,Beta vulgaris subsp. maritima,,
Chenopodiaceae,Beta vulgaris subsp. vulgaris,1,
Pittosporaceae,Billardiera heterophylla,1,
Fabaceae,Bituminaria bituminosa,1,
Asteraceae,Blennosperma nanum,,
Asteraceae,Blennosperma nanum var. nanum,,
Themidaceae,Bloomeria crocea,,Bloomeria crocea var. crocea
Themidaceae,Bloomeria crocea var. aurea,1,
Themidaceae,Bloomeria crocea var. crocea,,
Brassicaceae,Boechera hoffmannii,,
Cyperaceae,Bolboschoenus fluviatilis,1,
Cyperaceae,Bolboschoenus maritimus  ,,Bolboschoenus maritimus subsp. paludosus
Cyperaceae,Bolboschoenus maritimus subsp. paludosus,,
Cyperaceae,Bolboschoenus robustus,,
Poaceae,Bothriochloa barbinodis,,
Poaceae,Bothriochloa laguroides var. torreyana,1,
Apiaceae,Bowlesia incana,,
Poaceae,Brachypodium distachyon,,
Brassicaceae,Brassica juncea,1,
Brassicaceae,Brassica nigra,,
Brassicaceae,Brassica rapa,,
Brassicaceae,Brassica rapa var. rapa,,Brassica rapa
Brassicaceae,Brassica tournefortii,,
Asteraceae,Brickellia californica,,
Asteraceae,Brickellia incana,1,
Poaceae,Briza maxima,1,
Poaceae,Briza minor,,
Themidaceae,Brodiaea coronaria subsp. coronaria,,Brodiaea coronaria
Themidaceae,Brodiaea jolonensis,,
Themidaceae,Brodiaea kinkiensis,,
Themidaceae,Brodiaea minor,1,
Poaceae,Bromus arizonicus,,
Poaceae,Bromus berteroanus,,
Poaceae,Bromus carinatus,,Bromus sitchensis var. carinatus
Poaceae,Bromus carinatus var. carinatus,,Bromus sitchensis var. carinatus
Poaceae,Bromus carinatus var. marginatus ,,Bromus sitchensis var. carinatus
Poaceae,Bromus carinatus var. maritimus,,Bromus sitchensis var. carinatus
Poaceae,Bromus catharticus,,Bromus catharticus
Poaceae,Bromus catharticus var. catharticus,,Bromus catharticus
Poaceae,Bromus catharticus var. elatus ,,Bromus catharticus
Poaceae,Bromus diandrus,,
Poaceae,Bromus diandrus var. rigidus,,Bromus diandrus
Poaceae,Bromus hordeaceus,,
Poaceae,Bromus laevipes,1,
Poaceae,Bromus madritensis,,Bromus rubens
Poaceae,Bromus madritensis subsp. rubens,,Bromus rubens
Poaceae,Bromus maritimus,,
Poaceae,Bromus pseudolaevipes,,
Poaceae,Bromus sitchensis,,Bromus sitchensis var. marginatus
Poaceae,Bromus sitchensis var. marginatus,1,
Poaceae,Bromus sterilis,,
Poaceae,Bromus tectorum,1,
Arecaceae,Butia capitata,1,
Brassicaceae,Cakile edentula,,
Brassicaceae,Cakile edentula subsp. edentula,,Cakile edentula
Brassicaceae,Cakile maritima,,Cakile maritima
Brassicaceae,Cakile maritima subsp. maritima,,
Poaceae,Calamagrostis rubescens,,
Montiaceae,Calandrinia breweri,,
Montiaceae,Calandrinia ciliata,,Calandrinia menziesii
Asteraceae,Calendula arvensis,1,
Asteraceae,Calendula officinalis,,
Geraniaceae,California macrophylla,,
Plantaginaceae,Callitriche marginata,,
Plantaginaceae,Callitriche stagnalis,,
Cupressaceae,Callitropsis guadalupensis,1,
Cupressaceae,Callitropsis lusitanica,1,
Cupressaceae,Calocedrus decurrens,1,
Liliaceae,Calochortus albus,,
Liliaceae,Calochortus albus var. rubellus,,Calochortus albus
Liliaceae,Calochortus catalinae,,
Liliaceae,Calochortus luteus,,
Liliaceae,Calochortus splendens,,
Liliaceae,Calochortus venustus,,
Montiaceae,Calyptridium monandrum,,
Convolvulaceae,Calystegia macrostegia,,
Convolvulaceae,Calystegia macrostegia subsp. amplissima,,
Convolvulaceae,Calystegia macrostegia subsp. cyclostegia,,
Convolvulaceae,Calystegia macrostegia subsp. intermedia,,
Convolvulaceae,Calystegia macrostegia subsp. macrostegia,,
Convolvulaceae,Calystegia malacophylla,1,
Convolvulaceae,Calystegia soldanella,,
Onagraceae,Camissonia strigulosa,,
Onagraceae,Camissoniopsis bistorta,1,
Onagraceae,Camissoniopsis cheiranthifolia,,
Onagraceae,Camissoniopsis cheiranthifolia subsp. cheiranthifolia,,
Onagraceae,Camissoniopsis cheiranthifolia subsp. suffruticosa,,
Onagraceae,Camissoniopsis guadalupensis,,Camissoniopsis guadalupensis subsp. clementina
Onagraceae,Camissoniopsis guadalupensis subsp. clementina,,
Onagraceae,Camissoniopsis hirtella,,
Onagraceae,Camissoniopsis ignota,,
Onagraceae,Camissoniopsis intermedia,,
Onagraceae,Camissoniopsis lewisii,1,
Onagraceae,Camissoniopsis micrantha,,
Onagraceae,Camissoniopsis robusta,,
Cannabaceae,Cannabis sativa,1,
Brassicaceae,Capsella bursa-pastoris,,
Brassicaceae,Cardamine californica,,
Brassicaceae,Cardamine oligosperma,,
Caryophyllaceae,Cardionema ramosissimum,,
Asteraceae,Carduus pycnocephalus,,Carduus pycnocephalus subsp. pycnocephalus
Cyperaceae,Carex aquatilis var. dives,1,
Cyperaceae,Carex barbarae,,
Cyperaceae,Carex globosa,,
Cyperaceae,Carex gracilior,,
Cyperaceae,Carex harfordii,,
Cyperaceae,Carex pansa,,
Cyperaceae,Carex praegracilis,,
Cyperaceae,Carex schottii,1,
Cyperaceae,Carex senta,,
Cyperaceae,Carex subbracteata,,
Cyperaceae,Carex subfusca,1,
Cyperaceae,Carex triquetra,,
Cyperaceae,Carex tumulicola,,
Aizoaceae,Carpobrotus chilensis,,
Aizoaceae,Carpobrotus edulis,,
Orobanchaceae,Castilleja affinis,,Castilleja affinis subsp. affinis
Orobanchaceae,Castilleja affinis subsp. affinis,,
Orobanchaceae,Castilleja densiflora,,
Orobanchaceae,Castilleja densiflora subsp. densiflora,,
Orobanchaceae,Castilleja densiflora subsp. gracilis,,
Orobanchaceae,Castilleja exserta,,Castilleja exserta subsp. exserta
Orobanchaceae,Castilleja exserta subsp. exserta,,
Orobanchaceae,Castilleja foliolosa,,
Orobanchaceae,Castilleja grisea,,
Orobanchaceae,Castilleja hololeuca,,
Orobanchaceae,Castilleja miniata,1,
Orobanchaceae,Castilleja mollis,,
Orobanchaceae,Castilleja wightii,1,
Casuarinaceae,Casuarina equisetifolia,1,
Brassicaceae,Caulanthus inflatus,1,
Brassicaceae,Caulanthus lasiophyllus,,
Rhamnaceae,Ceanothus arboreus,,
Rhamnaceae,Ceanothus crassifolius,,
Rhamnaceae,Ceanothus crassifolius var. planus,1,
Rhamnaceae,Ceanothus cuneatus,1,
Rhamnaceae,Ceanothus integerrimus,1,
Rhamnaceae,Ceanothus megacarpus,,
Rhamnaceae,Ceanothus megacarpus var. insularis,,
Rhamnaceae,Ceanothus megacarpus var. megacarpus,,
Rhamnaceae,Ceanothus oliganthus,1,
Pinaceae,Cedrus deodara,1,
Poaceae,Cenchrus echinatus,1,
Poaceae,Cenchrus setaceus,1,
Asteraceae,Centaurea benedicta,,
Asteraceae,Centaurea cineraria,,
Asteraceae,Centaurea cyanus,,
Asteraceae,Centaurea melitensis,,
Asteraceae,Centaurea solstitialis,,
Valerianaceae,Centranthus ruber,,
Asteraceae,Centromadia fitchii,,
Asteraceae,Centromadia pungens,,Centromadia pungens subsp. pungens
Asteraceae,Centromadia pungens subsp. pungens,,
Caryophyllaceae,Cerastium arvense,1,
Caryophyllaceae,Cerastium glomeratum,,
Fabaceae,Ceratonia siliqua,1,
Rosaceae,Cercocarpus betulifolius var. blancheae,,Cercocarpus betulioides var blancheae
Rosaceae,Cercocarpus betulioides var blancheae,,
Rosaceae,Cercocarpus betuloides,,
Rosaceae,Cercocarpus betuloides var. betulodies ,1,
Rosaceae,Cercocarpus betuloides var. betuloides,1,
Rosaceae,Cercocarpus betuloides var. blancheae,,
Rosaceae,Cercocarpus betuloides var. multiflorus,1,
Rosaceae,Cercocarpus ledifolius,1,
Rosaceae,Cercocarpus traskiae,,
Asteraceae,Chaenactis glabriuscula,,
Asteraceae,Chaenactis glabriuscula var. glabriuscula,,Chaenactis glabriuscula
Asteraceae,Chaenactis glabriuscula var. lanosa,,Chaenactis glabriuscula
Asteraceae,Chaenactis glabriuscula var. megacephala,,Chaenactis glabriuscula
Arecaceae,Chamaerops humilis,1,
Iridaceae,Chasmanthe floribunda,1,
Chenopodiaceae,Chenopodium album,1,
Chenopodiaceae,Chenopodium berlandieri,,
Chenopodiaceae,Chenopodium berlandieri var. sinuatum,1,
Chenopodiaceae,Chenopodium berlandieri var. zschackei,1,
Chenopodiaceae,Chenopodium californicum,,
Chenopodiaceae,Chenopodium macrospermum,,
Chenopodiaceae,Chenopodium murale,,
Poaceae,Chloris virgata,,
Agavaceae,Chlorogalum pomeridianum,,Chlorogalum pomeridianum var. pomeridianum
Agavaceae,Chlorogalum pomeridianum var. pomeridianum,,
Polygonaceae,Chorizanthe leptotheca,,
Polygonaceae,Chorizanthe staticoides,,
Polygonaceae,Chorizanthe wheeleri,,
Onagraceae,Chylismia claviformis,1,
Onagraceae,Chylismia claviformis subsp. claviformis ,1,
Asteraceae,Cichorium intybus,,
Asteraceae,Cirsium brevistylum,,
Asteraceae,Cirsium occidentale,,
Asteraceae,Cirsium occidentale var. californicum,,
Asteraceae,Cirsium occidentale var. compactum,1,
Asteraceae,Cirsium occidentale var. coulteri,,
Asteraceae,Cirsium occidentale var. occidentale,,
Asteraceae,Cirsium ochrocentrum,1,
Asteraceae,Cirsium undulatum,,
Asteraceae,Cirsium vulgare,,
Montiaceae,Cistanthe maritima,,
Cistaceae,Cistus incanus,1,
Onagraceae,Clarkia davyi,,
Onagraceae,Clarkia epilobioides,,
Onagraceae,Clarkia prostrata,,
Onagraceae,Clarkia purpurea,,Clarkia purpurea subsp. quadrivulnera
Onagraceae,Clarkia purpurea subsp. quadrivulnera,,
Onagraceae,Clarkia unguiculata,,
Montiaceae,Claytonia parviflora,,Claytonia parviflora subsp. parviflora
Montiaceae,Claytonia parviflora subsp. parviflora,,
Montiaceae,Claytonia perfoliata,,
Montiaceae,Claytonia perfoliata subsp. mexicana,,
Montiaceae,Claytonia perfoliata subsp. perfoliata,,
Ranunculaceae,Clematis lasiantha,,
Ranunculaceae,Clematis ligusticifolia,,
Ranunculaceae,Clematis pauciflora,,
Lamiaceae,Clinopodium chandleri,1,
Lamiaceae,Clinopodium douglasii,,
Amaryllidaceae,Clivia miniata,1,
Rhamnaceae,Colletia spinosissima,1,
Polemoniaceae,Collomia grandiflora,1,
Ericaceae,Comarostaphylis diversifolia,,
Ericaceae,Comarostaphylis diversifolia subsp. diversifolia,1,
Ericaceae,Comarostaphylis diversifolia subsp. planifolia,,
Apiaceae,Conium maculatum,,
Asteraceae,Constancea nevinii,,
Convolvulaceae,Convolvulus arvensis,,
Convolvulaceae,Convolvulus simulans,,
Orobanchaceae,Cordylanthus rigidus subsp. Setigerus,1,
Asteraceae,Corethrogyne filaginifolia,,
Asteraceae,Corethrogyne filaginifolia var. californica,,Corethrogyne filaginifolia
Asteraceae,Corethrogyne filaginifolia var. filaginifolia,,Corethrogyne filaginifolia
Cornaceae,Cornus glabrata,,
Cornaceae,Cornus sericea subsp. Occidentalis ,1,
Cornaceae,Cornus sericea subsp. Sericea,1,
Poaceae,Cortaderia jubata,1,
Poaceae,Cortaderia selloana,,
Rosaceae,Cotoneaster pannosus,,
Asteraceae,Cotula australis,,
Asteraceae,Cotula coronopifolia,,
Crassulaceae,Crassula aquatica,,
Crassulaceae,Crassula connata,,
Crassulaceae,Crassula ovata ,1,
Crassulaceae,Crassula perfoliata var. minor,1,
Crassulaceae,Crassula solieri,,
Crassulaceae,Crassula tetragona,1,
Crassulaceae,Crassula tillaea,,
Asteraceae,Crepis setosa,,
Crossosomataceae,Crossosoma bigelovii,1,
Crossosomataceae,Crossosoma californicum,,
Euphorbiaceae,Croton californicus,,
Euphorbiaceae,Croton setiger,,
Poaceae,Crypsis aculeata,,
Poaceae,Crypsis schoenoides,,
Poaceae,Crypsis vaginiflora,,
Boraginaceae,Cryptantha clevelandii,,
Boraginaceae,Cryptantha clevelandii var. clevelandii,,Cryptantha clevelandii
Boraginaceae,Cryptantha clevelandii var. florosa,,Cryptantha hipidissima
Boraginaceae,Cryptantha intermedia,,
Boraginaceae,Cryptantha leiocarpa,,
Boraginaceae,Cryptantha maritima,,
Boraginaceae,Cryptantha maritima var. maritima,,Cryptantha maritima
Boraginaceae,Cryptantha maritima var. pilosa,,Cryptantha maritima
Boraginaceae,Cryptantha micromeres,,Cryptantha micromeres
Boraginaceae,Cryptantha microstachys,,
Boraginaceae,Cryptantha muricata,,
Boraginaceae,Cryptantha muricata var. jonesii,,Cryptantha muricata
Boraginaceae,Cryptantha muricata var. muricata,,Cryptantha muricata
Boraginaceae,Cryptantha traskiae,,
Cucurbitaceae,Cucurbita foetidissima,,
Zingiberaceae,Curcuma longa,1,
Convolvulaceae,Cuscuta californica,,Cuscuta californica var. californica
Convolvulaceae,Cuscuta californica var. californica,,
Convolvulaceae,Cuscuta campestris,,
Convolvulaceae,Cuscuta occidentalis,,
Convolvulaceae,Cuscuta salina,,
Convolvulaceae,Cuscuta salina var. salina,,Cuscuta salina
Convolvulaceae,Cuscuta subinclusa,,
Cactaceae,Cylindropuntia prolifera,,
Plantaginaceae,Cymbalaria muralis,1,
Asteraceae,Cynara cardunculus,,
Asteraceae,Cynara cardunculus subsp. cardunculus,1,
Asteraceae,Cynara cardunculus subsp. flavescens,,
Poaceae,Cynodon dactylon,,
Cyperaceae,Cyperus eragrostis,,
Cyperaceae,Cyperus esculentus,,Cyperus esculentus var. leptostachyus
Cyperaceae,Cyperus esculentus var. leptostachyus,,
Cyperaceae,Cyperus involucratus,,
Cyperaceae,Cyperus ochraceus,1,
Cyperaceae,Cyperus odoratus,,
Cyperaceae,Cyperus papyrus,1,
Poaceae,Dactylis glomerata,,
Poaceae,Dactyloctenium aegyptium,,
Solanaceae,Datura wrightii,,
Apiaceae,Daucus pusillus,,
Asteraceae,Deinandra clementina,,
Asteraceae,Deinandra fasciculata,,
Asteraceae,Deinandra increscens,,Deinandra increscens subsp. increscens
Asteraceae,Deinandra increscens subsp. increscens,,
Asteraceae,Deinandra paniculata,1,
Asteraceae,Delairea odorata,,
Aizoaceae,Delosperma litorale,,
Ranunculaceae,Delphinium parishii,1,
Ranunculaceae,Delphinium parryi,,
Ranunculaceae,Delphinium parryi subsp. maritimum,,
Ranunculaceae,Delphinium parryi subsp. parryi,,
Ranunculaceae,Delphinium variegatum,,
Ranunculaceae,Delphinium variegatum subsp. kinkiense,,
Ranunculaceae,Delphinium variegatum subsp. thornei,,
Papaveraceae,Dendromecon harfordii,,
Papaveraceae,Dendromecon rigida,,
Poaceae,Deschampsia atropurpurea,,
Poaceae,Deschampsia danthonioides,,
Brassicaceae,Descurainia pinnata,,
Brassicaceae,Descurainia pinnata subsp. brachycarpa,,Descurainia pinnata
Brassicaceae,Descurainia pinnata subsp. halictorum,,Descurainia pinnata
Brassicaceae,Descurainia pinnata subsp. menziesii,,Descurainia pinnata
Poaceae,Desmazeria rigida,,
Nyctaginaceae,Dichelostemma capitatum subsp. capitatum,,Dipterostemon capitatus subsp. capitatus
Themidaceae,Dichelostemma capitatum subsp. Capitatum,,Dipterostemon capitatus subsp. capitatus
Convolvulaceae,Dichondra occidentalis,,
Plantaginaceae,Digitalis purpurea,1,
Asteraceae,Dimorphotheca fruticosa ,1,
Phrymaceae,Diplacus aurantiacus,,
Phrymaceae,Diplacus longiflorus,,
Phrymaceae,Diplacus parviflorus,,
Phrymaceae,Diplacus puniceus,,
Themidaceae,Dipterostemon capitatus ,,Dipterostemon capitatus subsp. capitatus
Themidaceae,Dipterostemon capitatus subsp. capitatus,,
Themidaceae,Dipterostemon capitatus subsp. Pauciflorum,1,
Poaceae,Dissanthelium californicum,,Poa thomasii
Poaceae,Distichlis littoralis,,
Poaceae,Distichlis spicata,,
Poaceae,Distichlis spicata subsp. spicata,,Distichlis spicata
Poaceae,Distichlis spicata var. spicata,,Distichlis spicata
Brassicaceae,Dithyrea maritima,,
Brassicaceae,Draba cuneifolia,,
Brassicaceae,Draba cuneifolia var. cuneifolia,,Draba cuneifolia
Brassicaceae,Draba cuneifolia var. integrifolia,,Draba cuneifolia
Asparagaceae,Dracaena draco,1,
Aizoaceae,Drosanthemum floribundum,1,
Rosaceae,Drymocallis glandulosa,,Drymocallis glandulosa var. wrangelliana
Rosaceae,Drymocallis glandulosa var. wrangelliana,,
Crassulaceae,Dudleya blochmaniae,,
Crassulaceae,Dudleya blochmaniae subsp. blochmaniae,,
Crassulaceae,Dudleya blochmaniae subsp. insularis,,
Crassulaceae,Dudleya caespitosa,,
Crassulaceae,Dudleya candelabrum,,
Crassulaceae,Dudleya cespitosa,,Dudleya caespitosa
Crassulaceae,Dudleya edulis,1,
Crassulaceae,Dudleya gnoma,,
Crassulaceae,Dudleya greenei,,
