source,id,month,year,observed_o,observed_1,time_obser,time_zone,user_id,user_login,created_at,updated_at,quality_gr,license,url,image_url,sound_url,tag_list,descriptio,num_identi,num_iden_1,captive_cu,oauth_appl,island,place_gues,latitude,longitude,positional,public_pos,geoprivacy,taxon_geop,coordinate,positionin,position_1,species_gu,scientific,acceptedName,common_nam,iconic_tax,taxon_id,acceptedGenus,epithet
iNaturalist,1472528,4,2012,4/1/12 18:04,4/1/12,2012-04-02 01:04:45 UTC,Pacific Time (US & Canada),95810,kiloueka,2015-05-10 07:43:25 UTC,2015-06-06 18:13:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1472528,https://inaturalist-open-data.s3.amazonaws.com/photos/1825545/medium.jpg?1431243809, , , ,2,0,FALSE,0,Santa Catalina,Hermit Gulch,33.329516,-118.33843,195,195, , ,FALSE, , ,Batrachoseps major,Batrachoseps major,Batrachoseps major,Garden Slender Salamander,Amphibia,27468,Batrachoseps,major
iNaturalist,1472527,2,2013,2/21/13 12:34,2/21/13,2013-02-21 20:34:35 UTC,Pacific Time (US & Canada),95810,kiloueka,2015-05-10 07:43:34 UTC,2018-06-15 03:43:09 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1472527,https://inaturalist-open-data.s3.amazonaws.com/photos/1825544/medium.JPG?1431243819, , , ,2,1,FALSE,0,Santa Catalina,Hermit Gulch,33.329516,-118.33843,195,195, , ,FALSE, , ,Garden Slender Salamander,Batrachoseps major,Batrachoseps major,Garden Slender Salamander,Amphibia,27468,Batrachoseps,major
iNaturalist,5260103,3,2017,2017/03/04 6:50 PM PST,3/4/17,2017-03-05 02:50:00 UTC,Pacific Time (US & Canada),86100,naturenate,2017-03-09 20:55:30 UTC,2019-06-14 21:47:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5260103,https://static.inaturalist.org/photos/6509556/medium.jpeg?1489092873, , , ,2,0,FALSE,0,Santa Catalina,"Los Angeles County, CA, USA",33.36648667,-118.349735,0,0, ,open,FALSE, , ,Garden Slender Salamander,Batrachoseps major,Batrachoseps major,Garden Slender Salamander,Amphibia,27468,Batrachoseps,major
iNaturalist,5260344,3,2017,2017/03/05 8:53 AM PST,3/5/17,2017-03-05 16:53:00 UTC,Pacific Time (US & Canada),86100,naturenate,2017-03-09 21:21:10 UTC,2017-03-11 17:25:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5260344,https://static.inaturalist.org/photos/6509724/medium.jpeg?1489093583, , , ,3,0,FALSE,0,Santa Catalina,"Los Angeles, California, United States",33.37056333,-118.35,0,0, , ,FALSE, , ,Garden Slender Salamander,Batrachoseps major,Batrachoseps major,Garden Slender Salamander,Amphibia,27468,Batrachoseps,major
iNaturalist,18897773,12,2018,2018-12-07 12:43:45 PM PST,12/7/18,2018-12-07 20:43:45 UTC,Pacific Time (US & Canada),392423,bjdion,2018-12-08 16:52:03 UTC,2019-02-26 04:53:21 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/18897773,https://inaturalist-open-data.s3.amazonaws.com/photos/28961378/medium.jpeg?1544287931, , ,Slender boy,3,0,FALSE,2,Santa Catalina,"Los Angeles County, US-CA, US",33.33052292,-118.3366818,7,7, ,open,FALSE, , ,Garden Slender Salamander,Batrachoseps major,Batrachoseps major,Garden Slender Salamander,Amphibia,27468,Batrachoseps,major
iNaturalist,22266050,4,2019,2019/04/03 1:32 PM PDT,4/3/19,2019-04-03 20:32:00 UTC,Pacific Time (US & Canada),86100,naturenate,2019-04-10 02:06:24 UTC,2019-06-14 13:52:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22266050,https://static.inaturalist.org/photos/34478586/medium.jpeg?1554860053, , , ,2,0,FALSE,0,Santa Catalina,"Los Angeles, California, United States",33.328605,-118.3411167,0,0, ,open,FALSE, , ,Garden Slender Salamander,Batrachoseps major,Batrachoseps major,Garden Slender Salamander,Amphibia,27468,Batrachoseps,major
iNaturalist,22266080,4,2019,2019/04/03 3:03 PM PDT,4/3/19,2019-04-03 22:03:00 UTC,Pacific Time (US & Canada),86100,naturenate,2019-04-10 02:06:53 UTC,2019-06-14 13:51:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22266080,https://static.inaturalist.org/photos/34479119/medium.jpeg?1554860496, , , ,2,0,FALSE,0,Santa Catalina,"Avalon, CA 90704, USA",33.32805333,-118.339715,0,0, ,open,FALSE, , ,Garden Slender Salamander,Batrachoseps major,Batrachoseps major,Garden Slender Salamander,Amphibia,27468,Batrachoseps,major
iNaturalist,22266131,4,2019,2019/04/03 8:36 PM PDT,4/3/19,2019-04-04 03:36:00 UTC,Pacific Time (US & Canada),86100,naturenate,2019-04-10 02:07:36 UTC,2019-06-14 13:51:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22266131,https://static.inaturalist.org/photos/34480073/medium.jpeg?1554861293, , , ,2,0,FALSE,0,Santa Catalina,"Los Angeles, California, United States",33.38699167,-118.406335,0,0, ,open,FALSE, , ,Garden Slender Salamander,Batrachoseps major,Batrachoseps major,Garden Slender Salamander,Amphibia,27468,Batrachoseps,major
iNaturalist,22966067,4,2019,2019/04/06 12:36 PM PDT,4/6/19,2019-04-06 19:36:00 UTC,Pacific Time (US & Canada),86100,naturenate,2019-04-23 22:12:06 UTC,2019-06-14 13:47:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22966067,https://static.inaturalist.org/photos/35598010/medium.jpeg?1556056772, , , ,1,0,FALSE,0,Santa Catalina,"Los Angeles, California, United States",33.36623667,-118.3497817,0,0, ,open,FALSE, , ,Garden Slender Salamander,Batrachoseps major,Batrachoseps major,Garden Slender Salamander,Amphibia,27468,Batrachoseps,major
iNaturalist,19626288,1,2019,2019-01-13 1:41:28 PM PST,1/13/19,2019-01-13 21:41:28 UTC,Pacific Time (US & Canada),392423,bjdion,2019-01-13 23:34:17 UTC,2019-01-28 19:21:02 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/19626288,https://inaturalist-open-data.s3.amazonaws.com/photos/30228955/medium.jpeg?1547439576, , ,4 legs,2,0,FALSE,2,Santa Catalina,"Los Angeles County, US-CA, US",33.40341837,-118.4249364,9,9, , ,FALSE, , ,Garden Slender Salamander,Batrachoseps major,Batrachoseps major,Garden Slender Salamander,Amphibia,27468,Batrachoseps,major
